context @ dump bugland (768 bytes):
0x0 0xe2cd
0x8 0x6b8ffffffa50000
0x10 0x0
0x18 0x0
0x20 0x1000000000000
0x28 0x0
0x30 0x51a0000000000000
0x38 0x18067
0x40 0x836d100000000000
0x48 0x180
0x50 0x0
0x58 0x2013c00000000000
0x60 0x180835f1064
0x68 0xd2879b0000000000
0x70 0x181
0x78 0x0
0x80 0xc64ebda7fcb0ae00
0x88 0x180
0x90 0x4300000000000000
0x98 0x27c8
0xa0 0xc000000001800000
0xa8 0x1
0xb0 0x8374e00000000000
0xb8 0x1c00000000180
0xc0 0xfffbe00000000000
0xc8 0x5966
0xd0 0x0
0xd8 0x27c84300
0xe0 0x873a0000000000
0xe8 0x98a7870000000000
0xf0 0x180
0xf8 0x0
