{'instruction': 4161920, 'rip': '0x180c25a36', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x7ff2978d'}
{'instruction': 4161922, 'rip': '0x180c25a42', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x180987abe'}
{'instruction': 4161924, 'rip': '0x180c25a49', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x18098c884'}
{'instruction': 4161926, 'rip': '0x180c259cd', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4161927, 'rip': '0x180c259ce', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4161930, 'rip': '0x180c259e0', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x180986508'}
{'instruction': 4161933, 'rip': '0x180c25c02', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x400'}
{'instruction': 4161934, 'rip': '0x180c25c06', 'access': 'write', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x180987abe'}
{'instruction': 4161937, 'rip': '0x180c25c14', 'access': 'read', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4161938, 'rip': '0x180c25c15', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4161938, 'rip': '0x180c25c15', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x1df6f784c'}
{'instruction': 4161939, 'rip': '0x180c25c1a', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4161940, 'rip': '0x180c25c1b', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4161947, 'rip': '0x180c25934', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x181b2b953'}
{'instruction': 4161948, 'rip': '0x180c25935', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4161948, 'rip': '0x180c25935', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x181b2b953'}
{'instruction': 4161949, 'rip': '0x180c25938', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x181b2b7b4'}
{'instruction': 4161951, 'rip': '0x180c2593d', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x5def478b'}
{'instruction': 4161953, 'rip': '0x180c258d0', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4161962, 'rip': '0x180c25d3a', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4161964, 'rip': '0x180c25d42', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x4fbfa54a'}
{'instruction': 4161965, 'rip': '0x180c25d47', 'access': 'write', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4161967, 'rip': '0x180c25d4b', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x18098c884'}
{'instruction': 4161968, 'rip': '0x180c25d50', 'access': 'read', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4161969, 'rip': '0x180c25d51', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4161969, 'rip': '0x180c25d51', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x18098c884'}
