1296580 0x180a830cd 4881ef80000000 {'rax': '0x2', 'rbx': '0xffffffffffff0001', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x0', 'rdi': '0xffffffffffff0013', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x80', 'r13': '0x18098c884', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830cd'}
1296581 0x180a830d4 4881ef00040000 {'rax': '0x2', 'rbx': '0xffffffffffff0001', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x0', 'rdi': '0xfffffffffffeff93', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x80', 'r13': '0x18098c884', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830d4'}
1296582 0x180a830db 4981c5ed000000 {'rax': '0x2', 'rbx': '0xffffffffffff0001', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x0', 'rdi': '0xfffffffffffefb93', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x80', 'r13': '0x18098c884', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830db'}
1296583 0x180a830e2 49c7c412000000 {'rax': '0x2', 'rbx': '0xffffffffffff0001', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x0', 'rdi': '0xfffffffffffefb93', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x80', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830e2'}
1296584 0x180a830e9 4881eb40000000 {'rax': '0x2', 'rbx': '0xffffffffffff0001', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x0', 'rdi': '0xfffffffffffefb93', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x12', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830e9'}
1296585 0x180a830f0 4881e73f000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x0', 'rdi': '0xfffffffffffefb93', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x12', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830f0'}
1296586 0x180a830f7 4c31d6 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x0', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x12', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830f7'}
1296587 0x180a830fa 4d897d00 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x12', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830fa'}
1296588 0x180a830fe 4989ec {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x12', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a830fe'}
1296589 0x180a83101 4981c46d000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x18098c884', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83101'}
1296590 0x180a83108 4d8b2424 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x18098c8f1', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83108'}
1296591 0x180a8310c 4981c408000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x181be293c', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a8310c'}
1296592 0x180a83113 490fb71424 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x180c66da0', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x181be2944', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83113'}
1296593 0x180a83118 4801ea {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x10e', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x181be2944', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83118'}
1296594 0x180a8311b 488b12 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x18098c992', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x181be2944', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a8311b'}
1296595 0x180a8311e 4901d4 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x7ffe1fee18', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x181be2944', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a8311e'}
1296596 0x180a83121 4981e53f000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x7ffe1fee18', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x817fde175c', 'r13': '0x18098c971', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83121'}
1296597 0x180a83128 4d09d3 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x7ffe1fee18', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x400', 'r12': '0x817fde175c', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83128'}
1296598 0x180a8312b 4889ef {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x7ffe1fee18', 'rsi': '0x180c66d15', 'rdi': '0x13', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175c', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a8312b'}
1296599 0x180a8312e 4929c4 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x7ffe1fee18', 'rsi': '0x180c66d15', 'rdi': '0x18098c884', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175c', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a8312e'}
1296600 0x180a83131 4829d1 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0x1e58', 'rdx': '0x7ffe1fee18', 'rsi': '0x180c66d15', 'rdi': '0x18098c884', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175a', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83131'}
1296601 0x180a83134 4821fa {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x7ffe1fee18', 'rsi': '0x180c66d15', 'rdi': '0x18098c884', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175a', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83134'}
